,Name,Rating,reviews,Company Type,Headquaters,Company Age,No. of Employee
5084,Radix Electrosys...,3.5,(122 Reviews),Private,"Navi Mumbai,Maharashtra + 10 more",43 years old,201-500 Employees (India)
5085,RattanIndia Powe...,3.1,(122 Reviews),Public,"Delhi/NCR,Delhi + 5 more",16 years old,1k-5k Employees (India)
5086,Cheema Boilers,4.1,(122 Reviews),Public,"Mohali,Punjab + 7 more",24 years old,501-1k Employees (India)
5087,Maxi Multiservic...,2.9,(122 Reviews),Private,Lucknow + 35 more,8 years old,201-500 Employees (Global)
5088,Harvest Gold Ind...,3.5,(122 Reviews),Private,New Delhi + 14 more,30 years old,501-1k Employees (India)
5089,E Pack Polymers,3.3,(122 Reviews),"Greater Noida,Uttar Pradesh + 7 more",24 years old,501-1k Employees (India),N/A
5090,Searce Cosourcin...,3.3,(122 Reviews),Private,"Cupertino,California + 5 more",19 years old,1k-5k Employees (India)
5091,C DOT,3.9,(122 Reviews),"Delhi/NCR,New Delhi + 8 more",39 years old,51-200 Employees (India),N/A
5092,Intech Organics,3.5,(122 Reviews),Private,Gurugram + 9 more,24 years old,201-500 Employees (India)
5093,Wika Instruments...,3.9,(122 Reviews),Pune + 6 more,26 years old,201-500 Employees (India),N/A
5094,Tata Boeing Aero...,3.8,(122 Reviews),Private,Chicago + 2 more,8 years old,1k-5k Employees (India)
5095,Anion Healthcare...,4.1,(122 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 3 more",24 years old,51-200 Employees (India)
5096,Stumpp Schuele &...,3.6,(122 Reviews),Private,Bengaluru + 6 more,63 years old,201-500 Employees (India)
5097,Kantar Operation...,3.5,(122 Reviews),London + 16 more,30 years old,5k-10k Employees (India),N/A
5098,Brane Enterprise...,3.3,(122 Reviews),LLP,"Hyderabad/Secunderabad,Telangana",6 years old,1k-5k Employees (India)
5099,Dentsu Aegis Net...,3.7,(121 Reviews),Private,"London,England + 9 more",34 years old,1k-5k Employees (India)
5100,Coverfox,3.5,(121 Reviews),Private,"Mumbai,Maharashtra + 7 more",10 years old,201-500 Employees (India)
5101,Sharp Business S...,3.5,(121 Reviews),Private,Noida + 26 more,111 years old,51-200 Employees (India)
5102,IL&FS Technologi...,3.9,(121 Reviews),Public,Gurgaon + 32 more,90 years old,201-500 Employees (India)
5103,Taikisha Enginee...,4.1,(121 Reviews),Private,"Gurgaon/Gurugram,Haryana + 7 more",28 years old,1k-5k Employees (India)
5104,Norwegian Cruise...,4.6,(121 Reviews),Miami + 9 more,57 years old,501-1k Employees (India),N/A
5105,Droom,3.9,(121 Reviews),Private,"Gurgaon,Haryana + 1 more",9 years old,201-500 Employees (India)
5106,Monginis Foods,3.5,(121 Reviews),Private,"Mumbai,Maharashtra + 21 more",63 years old,501-1k Employees (India)
5107,Crescent Foundry,3.7,(121 Reviews),Private,Kolkata + 6 more,41 years old,501-1k Employees (India)
5108,KMC Construction...,3.8,(121 Reviews),Public,"Chennai,Tamil Nadu + 22 more",26 years old,201-500 Employees (India)
5109,Multiplier Brand...,3.8,(121 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 28 more",7 years old,51-200 Employees (India)
5110,Upwork,4.5,(121 Reviews),Public,"Santa Clara,California + 23 more",8 years old,501-1k Employees (India)
5111,Ganges Internati...,3.5,(121 Reviews),Private,"Delhi/NCR,Delhi + 7 more",32 years old,1k-5k Employees (India)
5112,Hiranandani grou...,4.3,(121 Reviews),Private,"Mumbai,Maharashtra + 11 more",45 years old,1k-5k Employees (India)
5113,SEDER GROUP,4.0,(121 Reviews),Riyadh + 9 more,42 years old,10k-50k Employees (Global),N/A
5114,Tata Autocomp GY...,4.2,(121 Reviews),Private,Pune + 22 more,18 years old,201-500 Employees (India)
5115,Altum Credo Home...,3.8,(121 Reviews),Private,"Pune,Maharashtra + 30 more",7 years old,501-1k Employees (India)
5116,Amphenol Fci,3.7,(121 Reviews),Kochi + 5 more,42 years old,501-1k Employees (India),N/A
5117,Ksk Energy Ventu...,4.1,(121 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 10 more",22 years old,1k-5k Employees (India)
5118,The Millennium S...,3.9,(121 Reviews),Private,"Gurgaon/Gurugram,Haryana + 22 more",9 years old,11-50 Employees (India)
5119,Mafatlal Industr...,4.1,(121 Reviews),Public,"Mumbai,Maharashtra + 8 more",110 years old,1k-5k Employees (India)
5120,Autoline Industr...,3.8,(121 Reviews),Public,"Pune,Maharashtra + 10 more",20 years old,1k-5k Employees (India)
5121,L&T IDPL,4.3,(121 Reviews),Private,Chennai + 21 more,28 years old,201-500 Employees (India)
5122,Gem Engserv,3.8,(121 Reviews),Private,Navi Mumbai + 13 more,14 years old,51-200 Employees (India)
5123,Vishay Precision...,3.8,(121 Reviews),Public,Basingstoke + 4 more,13 years old,1k-5k Employees (India)
5124,Gapbridge Softwa...,4.0,(121 Reviews),Private,"Bengaluru,Karnataka + 19 more",13 years old,51-200 Employees (India)
5125,Ray Engineering,3.8,(121 Reviews),Mumbai + 17 more,17 years old,11-50 Employees (India),N/A
5126,SEForge,3.6,(121 Reviews),Private,Coimbatore + 4 more,17 years old,201-500 Employees (India)
5127,BMW Industries,3.9,(121 Reviews),Public,Kolkata + 10 more,53 years old,501-1k Employees (India)
5128,Biesse Manufactu...,4.0,(121 Reviews),Private,"Pesaro,Pesaro + 6 more",54 years old,501-1k Employees (India)
5129,Sulphur Mills,3.9,(121 Reviews),Public,"Mumbai,Maharashtra + 18 more",63 years old,201-500 Employees (India)
5130,Club Oxygen,4.4,(121 Reviews),Public,"Mumbai,Maharashtra + 23 more",5 years old,201-500 Employees (India)
5131,JSW Steel Coated...,3.8,(121 Reviews),Tarapur + 14 more,N/A,N/A,N/A
5132,UL Solutions,4.2,(121 Reviews),Private,"Northbrook,Illinois,United States + 5 more",129 years old,501-1k Employees (India)
5133,Sugam Parivahan,3.8,(121 Reviews),Private,New Delhi + 30 more,36 years old,201-500 Employees (India)
5134,CL Educate,4.0,(121 Reviews),Public,"Delhi/NCR,New Delhi + 21 more",27 years old,501-1k Employees (India)
5135,Shimizu,4.0,(120 Reviews),Private,"Chuo-ku,Tokyo + 12 more",219 years old,51-200 Employees (India)
5136,Fabtech Projects...,4.1,(120 Reviews),Private,"Pune,Maharashtra + 9 more",31 years old,201-500 Employees (India)
5137,Impressions Serv...,4.1,(120 Reviews),Private,"Gurgaon/Gurugram,Haryana + 10 more",29 years old,51-200 Employees (India)
5138,FreshMenu,3.5,(120 Reviews),Private,"Bangalore,Karnataka + 5 more",9 years old,201-500 Employees (India)
5139,Neosym Industry,3.6,(120 Reviews),Private,"Pune,Maharashtra + 6 more",91 years old,501-1k Employees (India)
5140,NHPC,4.3,(120 Reviews),Private,"Faridabad,Haryana + 16 more",48 years old,5k-10k Employees (India)
5141,Carnival Group,3.6,(120 Reviews),Private,Mumbai + 33 more,16 years old,51-200 Employees (India)
5142,Adglobal360,3.8,(120 Reviews),Private,"Gurgaon/Gurugram,Haryana + 4 more",14 years old,501-1k Employees (India)
5143,IIT Delhi,4.1,(120 Reviews),New Delhi + 4 more,62 years old,1k-5k Employees (Global),N/A
5144,CQRA,4.1,(120 Reviews),Private,"Pune,Maharashtra + 13 more",19 years old,201-500 Employees (India)
5145,HealthSpring,3.2,(120 Reviews),Private,"Mumbai,Maharashtra + 18 more",13 years old,201-500 Employees (India)
5146,Olive Bar & Kitc...,4.3,(120 Reviews),Private,Mumbai + 11 more,23 years old,201-500 Employees (India)
5147,Bombay Hospital,3.9,(120 Reviews),Private,"Mumbai,Maharashtra + 4 more",71 years old,501-1k Employees (India)
5148,Invenio Business...,3.5,(120 Reviews),Private,"Reading,United Kingdom + 4 more",17 years old,501-1k Employees (India)
5149,Network Techlab,4.1,(120 Reviews),"Mumbai,Maharashtra + 7 more",27 years old,501-1k Employees (India),N/A
5150,Interface Micros...,3.9,(120 Reviews),Private,"Gurgaon/Gurugram,Haryana + 5 more",39 years old,51-200 Employees (India)
5151,United Nations D...,4.4,(120 Reviews),Public,"New York,New York + 35 more",58 years old,201-500 Employees (India)
5152,Safran Engineeri...,3.3,(120 Reviews),Private,"Blagnac,Occitanie + 2 more",22 years old,201-500 Employees (India)
5153,Connect Broadban...,4.2,(120 Reviews),Public,"Ajitgarh,Punjab + 14 more",77 years old,11-50 Employees (India)
5154,Cholamandalam MS...,3.9,(120 Reviews),JV,Chennai + 25 more,29 years old,201-500 Employees (India)
5155,Sanjay Ghodawat ...,3.0,(120 Reviews),Kolhapur + 8 more,13 years old,201-500 Employees (India),N/A
5156,Brandix India Ap...,3.8,(120 Reviews),"Visakhapatnam/Vizag,Andhra Pradesh + 1 more",54 years old,51-200 Employees (India),N/A
5157,Celebal Technolo...,3.8,(120 Reviews),"Jaipur,Rajasthan + 8 more",8 years old,1k-5k Employees (India),N/A
5158,University of En...,4.0,(120 Reviews),Kolkata + 15 more,9 years old,201-500 Employees (India),N/A
5159,STT Global Data ...,4.2,(120 Reviews),Mumbai + 11 more,19 years old,201-500 Employees (India),N/A
5160,NIMT,4.5,(120 Reviews),Private,"Ghaziabad,Uttar Pradesh + 4 more",31 years old,51-200 Employees (Global)
5161,Man Industries,3.3,(120 Reviews),Public,"Mumbai,Maharashtra + 8 more",35 years old,1k-5k Employees (India)
5162,Embee Software,3.8,(120 Reviews),Private,"Kolkata,West Bengal + 15 more",36 years old,501-1k Employees (India)
5163,Lee Pharma,3.9,(120 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 4 more",26 years old,51-200 Employees (India)
5164,Acer India,4.0,(120 Reviews),Public,Xizhi + 29 more,47 years old,51-200 Employees (India)
5165,Ramoji Film City,4.0,(120 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 5 more",27 years old,1k-5k Employees (India)
5166,V2 Solutions,4.1,(120 Reviews),Private,"Santa Clara,California + 5 more",20 years old,501-1k Employees (India)
5167,Pittie Group,3.1,(120 Reviews),Private,"Mumbai,Maharashtra + 23 more",32 years old,51-200 Employees (India)
5168,Ujaas Energy,3.7,(120 Reviews),Public,"Indore,Madhya Pradesh + 14 more",44 years old,201-500 Employees (India)
5169,Wave Infratech,4.0,(120 Reviews),Private,"Noida,Uttar Pradesh + 6 more",60 years old,1k-5k Employees (India)
5170,Intelux Electron...,3.8,(120 Reviews),Private,"Pune,Maharashtra + 10 more",27 years old,201-500 Employees (India)
5171,Viacom18 Media,3.8,(120 Reviews),Private,Mumbai + 10 more,16 years old,1k-5k Employees (India)
5172,Smart Drive Syst...,3.3,(120 Reviews),Private,"San Diego,California",19 years old,201-500 Employees (India)
5173,Nyx-medical Solu...,4.2,(120 Reviews),Bengaluru/Bangalore + 1 more,51-200 Employees (India),N/A,N/A
5174,Horiba India,3.5,(120 Reviews),Private,Kyoto + 13 more,70 years old,201-500 Employees (India)
5175,Premier Energies,4.1,(120 Reviews),Hyderabad/Secunderabad + 4 more,501-1k Employees (India),N/A,N/A
5176,Captain Fresh,3.7,(120 Reviews),"Bangalore,Karnataka + 13 more",4 years old,51-200 Employees (India),N/A
5177,MamaEarth,4.1,(120 Reviews),"Gurgaon,Haryana + 22 more",7 years old,201-500 Employees (India),N/A
5178,NaviSite,3.6,(120 Reviews),Private,Andover,26 years old,501-1k Employees (India)
5179,ASK-EHS Engineer...,3.3,(120 Reviews),Private,Surat + 23 more,18 years old,201-500 Employees (India)
5180,Torque Pharmaceu...,3.7,(119 Reviews),Private,"Chandigarh,Chandigarh + 21 more",38 years old,51-200 Employees (India)
5181,Innoplexus,4.3,(119 Reviews),Private,"Eschborn,Hessen",8 years old,201-500 Employees (India)
5182,Viztar Internati...,3.4,(119 Reviews),Private,"Mumbai,Maharashtra + 14 more",16 years old,501-1k Employees (India)
5183,Sula Vineyards,4.4,(119 Reviews),Private,Nashik + 12 more,27 years old,501-1k Employees (India)
5184,Virinchi Technol...,3.6,(119 Reviews),Private,Edison + 2 more,32 years old,1k-5k Employees (India)
5185,Botree Software ...,3.6,(119 Reviews),Private,"Chennai,Tamil Nadu + 10 more",26 years old,201-500 Employees (India)
5186,Madras Engineeri...,3.9,(119 Reviews),Chennai + 7 more,57 years old,11-50 Employees (India),N/A
5187,Isc Projects,4.0,(119 Reviews),Private,"Pune,Maharashtra + 14 more",56 years old,51-200 Employees (India)
5188,Mayasheel Retail...,3.7,(119 Reviews),Public,Gurgaon + 30 more,8 years old,51-200 Employees (India)
5189,Tulip Diagnostic...,4.3,(119 Reviews),Private,Goa + 32 more,35 years old,1k-5k Employees (India)
5190,Regalo Kitchens,4.1,(119 Reviews),LLP,"New Delhi,Delhi + 5 more",15 years old,201-500 Employees (India)
5191,Indiafilings,2.7,(119 Reviews),Private,"Chennai,Tamil Nadu + 8 more",10 years old,501-1k Employees (Global)
5192,First Data,3.8,(119 Reviews),Atlanta + 11 more,10k+ Employees (Global),N/A,N/A
5193,Sigma Freudenber...,4.2,(119 Reviews),Private,"Milan,Ohio + 11 more",23 years old,1k-5k Employees (India)
5194,Leonia Holistic ...,4.0,(119 Reviews),Private,Hyderabad + 6 more,20 years old,201-500 Employees (India)
5195,Atidiv,3.2,(119 Reviews),Private,"Pune,Maharashtra",14 years old,201-500 Employees (India)
5196,Ramee Group of H...,3.5,(119 Reviews),Private,Dubai + 10 more,38 years old,51-200 Employees (India)
5197,Ankur Seeds,4.2,(119 Reviews),Private,Nagpur + 25 more,47 years old,1k-5k Employees (India)
5198,People Prime Wor...,3.4,(119 Reviews),Hyderabad + 2 more,11 years old,51-200 Employees (India),N/A
5199,Prestige Estates...,4.4,(119 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 6 more",37 years old,1k-5k Employees (India)
5200,Qube Cinema Tech...,3.9,(119 Reviews),Private,"Chennai,Tamil Nadu + 7 more",19 years old,501-1k Employees (India)
5201,Toto India Indus...,4.2,(119 Reviews),Private,"Mumbai,Maharashtra + 9 more",12 years old,51-200 Employees (India)
5202,Renom Energy Ser...,4.3,(119 Reviews),"Pune,maharashtra + 18 more",501-1k Employees (India),N/A,N/A
5203,Americana Group,3.7,(119 Reviews),Private,Kuwait City + 12 more,59 years old,50k-1 Lakh Employees (Global)
5204,Loconav,3.5,(119 Reviews),Private,Gurgaon + 6 more,8 years old,501-1k Employees (India)
5205,Mograsys Technol...,3.3,(119 Reviews),Private,Pune + 7 more,19 years old,51-200 Employees (India)
5206,Tricon Infra Bui...,3.1,(119 Reviews),Private,Pune + 5 more,17 years old,201-500 Employees (India)
5207,Paytm Mall,3.7,(119 Reviews),"Delhi,NCT + 19 more",13 years old,501-1k Employees (India),N/A
5208,Geeklurn,3.9,(119 Reviews),Bengaluru/Bangalore + 1 more,51-200 Employees (India),N/A,N/A
5209,OneClick IT Cons...,4.7,(119 Reviews),Private,"Ahmedabad,Gujarat + 1 more",11 years old,51-200 Employees (India)
5210,QR Crypher,4.4,(119 Reviews),JV,"Tiruchirappalli,Tamil Nadu + 2 more",4 years old,11-50 Employees (India)
5211,VASTA BIO-INFORM...,3.7,(119 Reviews),New York + 5 more,501-1k Employees (India),N/A,N/A
5212,Anlitiks,4.9,(119 Reviews),N/A,N/A,N/A,N/A
5213,Protean eGov Tec...,3.7,(119 Reviews),Mumbai + 7 more,N/A,N/A,N/A
5214,Hanu Software So...,3.4,(119 Reviews),Private,"Princeton,New Jersey + 3 more",21 years old,1-10 Employees (India)
5215,VTP Realty,3.7,(119 Reviews),51-200 Employees (India),N/A,N/A,N/A
5216,ReachLocal Servi...,3.0,(118 Reviews),Private,Mumbai + 4 more,13 years old,501-1k Employees (India)
5217,GMM Pfaudler,4.0,(118 Reviews),Public,Mumbai + 7 more,61 years old,501-1k Employees (India)
5218,Ahana Systems & ...,4.1,(118 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 10 more",16 years old,201-500 Employees (India)
5219,Ahana Systems & ...,4.1,(118 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 10 more",16 years old,201-500 Employees (India)
5220,NMDC,4.4,(118 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 12 more",65 years old,501-1k Employees (India)
5221,Goibibo,4.2,(118 Reviews),Private,"Gurgaon,Haryana + 15 more",16 years old,1k-5k Employees (India)
5222,Mahindra Two Whe...,4.4,(118 Reviews),Public,Pune + 36 more,15 years old,501-1k Employees (India)
5223,Takata,4.4,(118 Reviews),Private,"Delhi/NCR,Delhi + 9 more",62 years old,1k-5k Employees (India)
5224,Forbes Technosys,4.0,(118 Reviews),Private,"Thane,Maharashtra + 27 more",30 years old,201-500 Employees (India)
5225,Tonglit Autogist...,4.0,(118 Reviews),Private,"Chennai,Tamil Nadu + 11 more",13 years old,51-200 Employees (India)
5226,Centelon,4.5,(118 Reviews),LLP,Melbourne + 5 more,7 years old,201-500 Employees (India)
5227,Dynamatic Techno...,3.7,(118 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 5 more",50 years old,1k-5k Employees (India)
5228,Riddhi Corporate...,4.1,(118 Reviews),Public,Ahmedabad + 29 more,13 years old,11-50 Employees (India)
5229,Myk Schomburg,4.0,(118 Reviews),Hyderabad + 24 more,17 years old,501-1k Employees (India),N/A
5230,Suhail Bahwan Au...,4.1,(118 Reviews),LLC,Muscat + 6 more,19 years old,10k-50k Employees (India)
5231,Nerdy Turtlez,3.1,(118 Reviews),"Noida,Uttar Pradesh + 3 more",14 years old,201-500 Employees (India),N/A
5232,CDM Smith,4.1,(118 Reviews),Private,Boston + 22 more,76 years old,501-1k Employees (India)
5233,Ford Motor Credi...,4.2,(118 Reviews),Private,Dearborn + 12 more,64 years old,10k-50k Employees (India)
5234,GMM Pfaudler,4.0,(118 Reviews),Public,Mumbai + 7 more,61 years old,501-1k Employees (India)
5235,Givaudan,4.1,(118 Reviews),Private,"Vernier,Geneva + 6 more",128 years old,201-500 Employees (India)
5236,Maharashtra Stat...,4.3,(118 Reviews),Private,Mumbai + 27 more,18 years old,1k-5k Employees (India)
5237,Peninsula Land,4.0,(118 Reviews),Public,Mumbai + 6 more,26 years old,501-1k Employees (India)
5238,Vnr Seeds,3.8,(118 Reviews),Raipur + 18 more,19 years old,51-200 Employees (India),N/A
5239,Nippon Konpo,4.0,(118 Reviews),Gurugram + 7 more,12 years old,51-200 Employees (India),N/A
5240,Xome,4.3,(118 Reviews),Private,"Lewisville,Texas + 3 more",11 years old,201-500 Employees (India)
5241,Agility E Servic...,4.0,(118 Reviews),Public,"Hyderabad/Secunderabad,Telangana",16 years old,51-200 Employees (India)
5242,Code Brew Labs,4.0,(118 Reviews),Private,"Chandigarh,Chandigarh",10 years old,201-500 Employees (India)
5243,Sony India Softw...,4.0,(118 Reviews),Bengaluru + 9 more,26 years old,1k-5k Employees (India),N/A
5244,Amrapali Group,4.1,(118 Reviews),Private,"Noida,Uttar Pradesh + 12 more",20 years old,501-1k Employees (India)
5245,Health Prime Ser...,3.8,(118 Reviews),Private,Mumbai + 2 more,20 years old,201-500 Employees (India)
5246,ReachLocal Servi...,3.0,(118 Reviews),Private,Mumbai + 4 more,13 years old,501-1k Employees (India)
5247,Deloitte Support...,4.2,(118 Reviews),Hyderabad/Secunderabad + 8 more,201-500 Employees (India),N/A,N/A
5248,Kama Ayurveda,4.0,(118 Reviews),Private,Noida + 19 more,21 years old,201-500 Employees (India)
5249,Highbar Technocr...,3.8,(118 Reviews),Private,"Mumbai,Maharashtra + 7 more",13 years old,201-500 Employees (India)
5250,Merit Software S...,3.9,(118 Reviews),Private,London + 2 more,19 years old,51-200 Employees (India)
5251,Woodenstreet.com,3.3,(118 Reviews),Private,"Jaipur,Rajasthan + 14 more",8 years old,51-200 Employees (India)
5252,Toyo INK,4.2,(117 Reviews),Private,Tokyo + 9 more,17 years old,11-50 Employees (India)
5253,Telstra,4.1,(117 Reviews),Private,Melbourne + 7 more,31 years old,1k-5k Employees (India)
5254,Border Roads Org...,4.1,(117 Reviews),Public,New Delhi + 15 more,63 years old,5k-10k Employees (India)
5255,Stedman Pharmace...,4.3,(117 Reviews),Private,"Chennai,Tamil Nadu + 22 more",32 years old,201-500 Employees (India)
5256,Educational Init...,3.9,(117 Reviews),Private,"Ahmedabad,Gujarat + 20 more",22 years old,201-500 Employees (India)
5257,STMicroelectroni...,4.2,(117 Reviews),Private,"Geneva,Geneva + 2 more",36 years old,1k-5k Employees (India)
5258,Serdia Pharmaceu...,3.7,(117 Reviews),Private,"Mumbai,Maharashtra + 21 more",37 years old,501-1k Employees (India)
5259,TC Global,3.6,(117 Reviews),Private,Delhi + 16 more,28 years old,201-500 Employees (India)
5260,Oriental Bank of...,3.9,(117 Reviews),Private,"Gurgaon/Gurugram,Haryana + 31 more",80 years old,501-1k Employees (India)
5261,EVOSYS,3.7,(117 Reviews),Private,"Ahmedabad,Gujarat + 5 more",17 years old,1k-5k Employees (India)
5262,Oakridge Interna...,4.0,(117 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 7 more",12 years old,51-200 Employees (India)
5263,Suven Life Scien...,3.9,(117 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 5 more",34 years old,51-200 Employees (India)
5264,Elofic Industrie...,4.0,(117 Reviews),Private,"Faridabad,Haryana + 10 more",72 years old,201-500 Employees (India)
5265,Tekion,3.4,(117 Reviews),Private,"Pleasanton,California + 2 more",7 years old,1k-5k Employees (India)
5266,Oswaal Books,4.3,(117 Reviews),Private,"āgra,uttar Pradesh + 3 more",39 years old,201-500 Employees (India)
5267,Tata CLiQ,4.0,(117 Reviews),Private,"Mumbai,Maharashtra + 3 more",7 years old,501-1k Employees (India)
5268,Electrical Maint...,4.0,(117 Reviews),New Delhi + 38 more,1-10 Employees (India),N/A,N/A
5269,FSS,3.6,(117 Reviews),Private,"Chennai,Tamil Nadu + 12 more",32 years old,1k-5k Employees (India)
5270,Haldiram Manufac...,4.0,(117 Reviews),Manesar + 13 more,41 years old,1k-5k Employees (India),N/A
5271,GCMMF,4.0,(117 Reviews),Anand + 39 more,77 years old,N/A,N/A
5272,Varite,3.7,(117 Reviews),Private,San Jose + 6 more,23 years old,201-500 Employees (India)
5273,Bry-Air (Asia),4.2,(117 Reviews),Private,"Gurgaon/Gurugram,Haryana + 12 more",42 years old,1k-5k Employees (India)
5274,Coastal Marine C...,4.2,(117 Reviews),Private,"Mira Bhayander,Maharashtra + 16 more",28 years old,501-1k Employees (India)
5275,Kesari Tours,3.9,(117 Reviews),Private,"Mumbai,Maharashtra + 9 more",39 years old,501-1k Employees (India)
5276,SeQuent Scientif...,3.5,(117 Reviews),Public,"Mumbai,Maharashtra + 9 more",38 years old,501-1k Employees (India)
5277,Repro India,3.9,(117 Reviews),Public,"Mumbai,Maharashtra + 10 more",39 years old,501-1k Employees (India)
5278,Any Brand,4.0,(117 Reviews),New Delhi + 31 more,1-10 Employees (India),N/A,N/A
5279,Coastal Marine C...,4.2,(117 Reviews),Private,"Mira Bhayander,Maharashtra + 16 more",28 years old,501-1k Employees (India)
5280,Tekion,3.4,(117 Reviews),Private,"Pleasanton,California + 2 more",7 years old,1k-5k Employees (India)
5281,Electrical Maint...,4.0,(117 Reviews),New Delhi + 38 more,1-10 Employees (India),N/A,N/A
5282,L&T Power Transm...,4.4,(117 Reviews),Chennai + 23 more,1k-5k Employees (India),N/A,N/A
5283,Nibav Lifts,3.7,(117 Reviews),Private,"Chennai,Tamil Nadu + 18 more",8 years old,501-1k Employees (India)
5284,Netoyed,4.0,(117 Reviews),11-50 Employees (India),N/A,N/A,N/A
5285,Mfine,3.6,(117 Reviews),Private,"Bangalore,Karnataka + 6 more",6 years old,201-500 Employees (India)
5286,Oswaal Books,4.3,(117 Reviews),Private,"āgra,uttar Pradesh + 3 more",39 years old,201-500 Employees (India)
5287,Sowparnika,3.1,(117 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 8 more",20 years old,51-200 Employees (India)
5288,OM Careers,3.0,(116 Reviews),Private,Ludhiana,15 years old,11-50 Employees (India)
5289,Kopran,3.5,(116 Reviews),Public,"Mumbai,Maharashtra + 11 more",65 years old,501-1k Employees (India)
5290,Astegic,4.4,(116 Reviews),Private,"Falls Church,Virginia",20 years old,51-200 Employees (India)
5291,Tata Memorial Ho...,4.2,(116 Reviews),Private,Mumbai + 5 more,82 years old,1k-5k Employees (India)
5292,Prothious Engine...,3.6,(116 Reviews),Private,"Mumbai,Maharashtra + 5 more",18 years old,1k-5k Employees (India)
5293,Ramky Group,4.3,(116 Reviews),Private,"Issy-les-moulineaux,Hauts-de-seine + 28 more",29 years old,1k-5k Employees (India)
5294,iB Hubs,4.3,(116 Reviews),Private,Gurgaon + 5 more,7 years old,501-1k Employees (India)
5295,Sapphire Softwar...,4.5,(116 Reviews),Private,"Ahmedabad,Gujarat + 2 more",23 years old,51-200 Employees (India)
5296,Armstrong Intern...,3.9,(116 Reviews),Private,"Three Rivers,MI + 19 more",123 years old,51-200 Employees (India)
5297,Sahajanand Medic...,3.7,(116 Reviews),Private,"Surat,Gujarat + 22 more",25 years old,501-1k Employees (India)
5298,Flemingo Duty Fr...,4.0,(116 Reviews),Private,"Navi Mumbai,Maharashtra + 13 more",26 years old,201-500 Employees (India)
5299,Sneha Farms,3.9,(116 Reviews),Private,Hyderabad + 6 more,41 years old,501-1k Employees (Global)
5300,LIXIL,4.1,(116 Reviews),Public,"Koto-ku,Tokyo + 23 more",16 years old,201-500 Employees (India)
5301,Translumina Ther...,4.3,(116 Reviews),LLP,"Delhi,NCT + 7 more",13 years old,201-500 Employees (India)
5302,ILS Hospitals,3.8,(116 Reviews),Private,Kolkata + 2 more,23 years old,501-1k Employees (Global)
5303,Ammann Apollo,4.2,(116 Reviews),Private,Mehsana + 13 more,26 years old,1k-5k Employees (India)
5304,Da Milano Leathe...,3.3,(116 Reviews),New Delhi + 23 more,34 years old,51-200 Employees (India),N/A
5305,Clearpack,3.8,(116 Reviews),Private,Singapore + 6 more,32 years old,51-200 Employees (India)
5306,Dmi Housing Fina...,4.1,(116 Reviews),Private,New Delhi + 32 more,15 years old,51-200 Employees (India)
5307,Webdew,4.6,(116 Reviews),Private,"Mohali,Punjab + 4 more",7 years old,51-200 Employees (India)
5308,Proziod Analytic...,4.2,(116 Reviews),Private,"Bengaluru/Bangalore,Karnataka + 1 more",7 years old,51-200 Employees (India)
5309,Proziod Analytic...,4.2,(116 Reviews),Private,"Bengaluru/Bangalore,Karnataka + 1 more",7 years old,51-200 Employees (India)
5310,First Abu Dhabi ...,2.9,(116 Reviews),Public,"Abu Dhabi,Abu Dhabi + 5 more",6 years old,201-500 Employees (India)
5311,EICHER TRUCKS AN...,4.2,(116 Reviews),Public,New Delhi + 33 more,15 years old,1k-5k Employees (India)
5312,Agriculture Depa...,4.0,(116 Reviews),Pune + 54 more,N/A,N/A,N/A
5313,LIXIL,4.1,(116 Reviews),Public,"Koto-ku,Tokyo + 23 more",16 years old,201-500 Employees (India)
5314,Dmi Housing Fina...,4.1,(116 Reviews),Private,New Delhi + 32 more,15 years old,51-200 Employees (India)
5315,Pontika Aerotech,3.9,(116 Reviews),Public,Sirmour + 3 more,6 years old,51-200 Employees (India)
5316,Translumina Ther...,4.3,(116 Reviews),LLP,"Delhi,NCT + 7 more",13 years old,201-500 Employees (India)
5317,NSK,4.0,(116 Reviews),Public,Tokyo + 13 more,107 years old,51-200 Employees (India)
5318,Kopran,3.5,(116 Reviews),Public,"Mumbai,Maharashtra + 11 more",65 years old,501-1k Employees (India)
5319,Pps Motors,4.0,(116 Reviews),Private,Hyderabad + 19 more,12 years old,51-200 Employees (India)
5320,RateGain,3.6,(116 Reviews),Private,"London,England + 2 more",19 years old,201-500 Employees (India)
5321,Safdarjung Hospi...,4.7,(116 Reviews),"Delhi/NCR,Delhi + 4 more",81 years old,501-1k Employees (India),N/A
